ARR,DEP,REG,CHEFLIEU,TNCC,NCC,NCCENR,LIBELLE
931,93,11,93008,0,BOBIGNY,Bobigny,Bobigny
932,93,11,93062,2,RAINCY,Raincy,Le Raincy
933,93,11,93066,0,SAINT DENIS,Saint-Denis,Saint-Denis
941,94,11,94028,0,CRETEIL,Créteil,Créteil
942,94,11,94052,0,NOGENT SUR MARNE,Nogent-sur-Marne,Nogent-sur-Marne
943,94,11,94038,5,HAY LES ROSES,Haÿ-les-Roses,L'Haÿ-les-Roses
951,95,11,95018,1,ARGENTEUIL,Argenteuil,Argenteuil
952,95,11,95585,0,SARCELLES,Sarcelles,Sarcelles
953,95,11,95500,0,PONTOISE,Pontoise,Pontoise
9711,971,01,97105,0,BASSE TERRE,Basse-Terre,Basse-Terre
9712,971,01,97120,0,POINTE A PITRE,Pointe-à-Pitre,Pointe-à-Pitre
9721,972,02,97209,0,FORT DE FRANCE,Fort-de-France,Fort-de-France
9722,972,02,97230,3,TRINITE,Trinité,La Trinité
9723,972,02,97217,2,MARIN,Marin,Le Marin
9724,972,02,97225,0,SAINT PIERRE,Saint-Pierre,Saint-Pierre
9731,973,03,97302,0,CAYENNE,Cayenne,Cayenne
9732,973,03,97311,0,SAINT LAURENT DU MARONI,Saint-Laurent-du-Maroni,Saint-Laurent-du-Maroni
9733,973,03,97308,0,SAINT GEORGES,Saint-Georges,Saint-Georges
9741,974,04,97411,0,SAINT DENIS,Saint-Denis,Saint-Denis
9742,974,04,97416,0,SAINT PIERRE,Saint-Pierre,Saint-Pierre
9743,974,04,97410,0,SAINT BENOIT,Saint-Benoît,Saint-Benoît
9744,974,04,97415,0,SAINT PAUL,Saint-Paul,Saint-Paul
